date,section,rank1_name,rank1_value,rank2_name,rank2_value,rank3_name,rank3_value,rank4_name,rank4_value,rank5_name,rank5_value
"2025-10-07","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-07","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-07","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-08","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-08","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-08","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-08","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-08","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-08","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-09","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-09","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-09","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-09","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-09","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-09","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-10","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-10","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-10","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-10","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-10","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-10","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-11","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-11","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-11","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-11","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-11","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-11","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-12","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-12","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-12","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-12","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-12","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-12","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-13","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-13","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-13","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-13","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-13","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-13","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-14","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-14","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-14","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-14","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-14","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-14","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-15","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-15","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-15","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-15","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-15","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-15","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-16","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-16","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-16","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Claude 3.7 Sonnet","84.8"
"2025-10-16","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens","Gemini 2.0 Flash","1.0M tokens"
"2025-10-16","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-16","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-17","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-17","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-17","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Grok 4 Fast","85.7"
"2025-10-17","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Grok 4 Fast","2.0M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens"
"2025-10-17","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-17","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-18","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-18","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-18","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Grok 4 Fast","85.7"
"2025-10-18","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Grok 4 Fast","2.0M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens"
"2025-10-18","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-18","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-19","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-19","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-19","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Grok 4 Fast","85.7"
"2025-10-19","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Grok 4 Fast","2.0M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens"
"2025-10-19","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-19","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-20","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-20","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-20","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Grok 4 Fast","85.7"
"2025-10-20","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Grok 4 Fast","2.0M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens"
"2025-10-20","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-20","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
"2025-10-21","code","GPT-5","88","Gemini 2.5 Pro Preview 06-05","82.2","o3","81.3","Gemini 2.5 Pro","76.5","DeepSeek-V3.2-Exp","74.5"
"2025-10-21","multimodal","GPT-5","84.2","o3","82.9","Gemini 2.5 Pro Preview 06-05","82","o4-mini","81.6","Gemini 2.5 Flash","79.7"
"2025-10-21","knowledge","Grok-4 Heavy","88.4","Grok-4","87.5","Gemini 2.5 Pro Preview 06-05","86.4","GPT-5","85.7","Grok 4 Fast","85.7"
"2025-10-21","longest_context","Llama 4 Scout","10.0M tokens","Gemini 1.5 Pro","2.1M tokens","Grok 4 Fast","2.0M tokens","Gemini 1.5 Flash","1.0M tokens","Gemini 1.5 Flash 8B","1.0M tokens"
"2025-10-21","cheapest","DeepInfra","$0.17 / 1M tokens","Novita","$0.17 / 1M tokens","Lambda","$0.18 / 1M tokens","Groq","$0.20 / 1M tokens","Fireworks","$0.22 / 1M tokens"
"2025-10-21","fastest","Sambanova","639 tokens/s","Groq","307 tokens/s","Together","98 tokens/s","Lambda","94 tokens/s","DeepInfra","84 tokens/s"
